hrap_id,hrapx,hrapy,county,max_win_pt,return_period
563_129,563,129,Atascosa,0.02,1.0
565_128,565,128,McMullen,0.08,1.0
564_128,564,128,McMullen,0.03,1.0
563_128,563,128,McMullen,0.02,1.0
562_130,562,130,Atascosa,0.02,1.0
561_130,561,130,Atascosa,0.02,1.0
562_129,562,129,Atascosa,0.02,1.0
561_129,561,129,Atascosa,0.02,1.0
560_129,560,129,Frio,0.01,1.0
562_128,562,128,McMullen,0.02,1.0
560_128,560,128,La Salle,0.01,1.0
562_127,562,127,McMullen,0.02,1.0
561_127,561,127,McMullen,0.02,1.0
560_127,560,127,La Salle,0.01,1.0
559_129,559,129,Frio,0.03,1.0
558_129,558,129,Frio,0.02,1.0
557_129,557,129,Frio,0.09,1.0
559_128,559,128,La Salle,0.02,1.0
557_128,557,128,Frio,0.04,1.0
559_127,559,127,La Salle,0.02,1.0
558_127,558,127,La Salle,0.04,1.0
557_127,557,127,La Salle,0.03,1.0
556_129,556,129,Frio,0.07,1.0
